,address1,address2,city,country_code,description,latitude,longitude,state_code,zip_code,location,Geolocation
63,,,Trivandrum,IND,Software Engineering,8.503696,76.952187,,,"[76.952187, 8.503696]","[76.952187, 8.503696]"
64,800 Washington Avenue North,Suite #301,Minneapolis,USA,Headquarters,44.989126,-93.278663,MN,55401,"[-93.278663, 44.989126]","[-93.278663, 44.989126]"
65,30 West Hubbard,Suite #400,Chicago,USA,Chicago Office,41.890441,-87.629377,IL,60601,"[-87.629377, 41.890441]","[-87.629377, 41.890441]"
66,6285 East Spring Street,Suite #277N,Los Angeles,USA,Los Angeles Office,33.810534,-118.109206,CA,90808,"[-118.109206, 33.810534]","[-118.109206, 33.810534]"
67,"13140 Coit Rd, Suite 405",,Dallas,USA,Headquarters,30.268735,-97.745209,TX,75240,"[-97.745209, 30.268735]","[-97.745209, 30.268735]"
68,5790 Miramar Road Suite 201,,San Diego,USA,Head Quarters,32.877483,-117.1851,CA,92121,"[-117.1851, 32.877483]","[-117.1851, 32.877483]"
69,92 East Main Street,,Somerville,USA,Headquarters,40.606599,-74.693688,NJ,08876,"[-74.693688, 40.606599]","[-74.693688, 40.606599]"
73,333 W. San Carlos St.,Suite 1250,San Jose,USA,,37.3183744,-122.0302814,CA,95110,"[-122.0302814, 37.3183744]","[-122.0302814, 37.3183744]"
80,6300 Bridge Point Parkway,Building 1; Suite 350,Austin,USA,Austin Office,30.27995,-97.807274,TX,78730,"[-97.807274, 30.27995]","[-97.807274, 30.27995]"
81,707 17th St.,Suite 2100,Denver,USA,HQ,39.7462728,-104.9911572,CO,80202,"[-104.9911572, 39.7462728]","[-104.9911572, 39.7462728]"
82,4800 Patrick Henry Drive,,Santa Clara,USA,Beganto Incorporation,37.4004675,-121.9851543,CA,95054,"[-121.9851543, 37.4004675]","[-121.9851543, 37.4004675]"
84,"#21, Off Airport Road",,Bangalore,IND,Bangalore Office,12.9619084,77.6299363,,560017,"[77.6299363, 12.9619084]","[77.6299363, 12.9619084]"
85,"323 Silom Road, Silom Fl. 41st",10500,Bangkok,THA,United Center,13.7255001,100.5260729,,10500,"[100.5260729, 13.7255001]","[100.5260729, 13.7255001]"
87,RÃ­o Negro 1338,,Montevideo,URY,Montevideo Office,-34.9060125,-56.1932857,,11100,"[-56.1932857, -34.9060125]","[-56.1932857, -34.9060125]"
88,3200 Bridge Parkway,,Redwood City,USA,Headquarters,37.5384185,-122.252115,CA,94065,"[-122.252115, 37.5384185]","[-122.252115, 37.5384185]"
89,Ülikooli 6A,,Tartu,EST,Europe,58.3754107,26.7212208,,51003,"[26.7212208, 58.3754107]","[26.7212208, 58.3754107]"
90,625 2nd Street,,San Francisco,USA,USA,59.42145,24.8021233,CA,94107,"[24.8021233, 59.42145]","[24.8021233, 59.42145]"
95,3 Park Avenue,32nd Floor,New York,USA,Corporate Headquarters,40.752672,-73.97593,NY,10016,"[-73.97593, 40.752672]","[-73.97593, 40.752672]"
99,710 2nd Avenue,Suite 840,Seattle,USA,Optify HQ,47.603364,-122.333359,WA,98104,"[-122.333359, 47.603364]","[-122.333359, 47.603364]"
100,14,wallers road,chennai,IND,India office,13.0293465,80.2122271,,600002,"[80.2122271, 13.0293465]","[80.2122271, 13.0293465]"
102,3 & 6 The Setons,Tolvaddon Energy Park,Camborne,GBR,Guava - Cornwall,22.351717,114.11768,,TR14 0HX,"[114.11768, 22.351717]","[114.11768, 22.351717]"
103,726 Grant Street,,Troy,USA,Headquarters,40.0336717,-84.2100702,OH,45373,"[-84.2100702, 40.0336717]","[-84.2100702, 40.0336717]"
104,52 Rausch Street #103,,San Francisco,USA,San Francisco Office,37.776295,-122.409893,CA,94103,"[-122.409893, 37.776295]","[-122.409893, 37.776295]"
105,"Rua Inacio Pereira da Rocha 421, #5",Pinheiros,SÃ£o Paulo,BRA,SÃ£o Paulo Office,-23.5612932,-46.6918186,,05432-011,"[-46.6918186, -23.5612932]","[-46.6918186, -23.5612932]"
106,500 N Capital of Texas Highway,"Bldg 3, 2nd Floor",Austin,USA,Corporate HQ,30.307955,-97.828408,TX,78746,"[-97.828408, 30.307955]","[-97.828408, 30.307955]"
109,7590 Fay Ave. Suite 506,,La Jolla,USA,Busca Corp. USA,32.841791,-117.274602,CA,92037,"[-117.274602, 32.841791]","[-117.274602, 32.841791]"
110,Calle Brasil No. 8471,Col. Juarez,"Tijuana, B.C.",MEX,Busca Corp. Tijuana,32.5217442,-117.0274947,,22040,"[-117.0274947, 32.5217442]","[-117.0274947, 32.5217442]"
111,Insurgentes Sur 348 Piso 9,Col. Roma,Mexico City,MEX,Busca Corp. Mexico City,19.4164309,-99.1651395,,06700,"[-99.1651395, 19.4164309]","[-99.1651395, 19.4164309]"
112,340 Brannan St. #302,,San Francisco,USA,,37.779868,-122.392343,CA,94107,"[-122.392343, 37.779868]","[-122.392343, 37.779868]"
115,140 Second St,6th Floor,San Francisco,USA,Headquarters,37.775196,-122.419204,CA,94105,"[-122.419204, 37.775196]","[-122.419204, 37.775196]"
116,PO Box 221,,Bedminster,USA,"Ben Jen Online, LLC",40.6463644,-74.6985891,NJ,07921-0221,"[-74.6985891, 40.6463644]","[-74.6985891, 40.6463644]"
119,2155 Analysis Drive,,Bozeman,USA,,45.6686485,-111.0662396,MT,59718,"[-111.0662396, 45.6686485]","[-111.0662396, 45.6686485]"
120,460 Totten Pond Road,,Waltham,USA,US Headquarters,42.39526,-71.256368,MA,02451,"[-71.256368, 42.39526]","[-71.256368, 42.39526]"
121,46 Ovata Drive,,Tullamarine,AUS,Head Office,-37.709071,144.863665,,3043,"[144.863665, -37.709071]","[144.863665, -37.709071]"
122,8 Mohr Street,,Tullamarine,AUS,Administration & Sales,-37.711099,144.86465,,3043,"[144.86465, -37.711099]","[144.86465, -37.711099]"
123,P.O. Box 4361,,Victoria Park,AUS,Western Region Office,-37.034419,143.743808,,6979,"[143.743808, -37.034419]","[143.743808, -37.034419]"
125,163 Hastings St W,,Vancouver,CAN,,49.2824551,-123.109217,,BC V6B 1H5,"[-123.109217, 49.2824551]","[-123.109217, 49.2824551]"
126,222 Merchandise Mart Plaza,12th Floor - 1871,Chicago,USA,,37.7867392,-122.4013875,IL,60654,"[-122.4013875, 37.7867392]","[-122.4013875, 37.7867392]"
128,3962 Borden Street,102,Victoria,CAN,Terapeak HQ,48.494688,-123.407654,,V8P 3H8,"[-123.407654, 48.494688]","[-123.407654, 48.494688]"
129,Mikonkatu 19,,Helsinki,FIN,Apaja HQ,60.171821,24.945167,,00100,"[24.945167, 60.171821]","[24.945167, 60.171821]"
130,"100 View Street, Suite 101",,Mountain View,USA,HQ,37.393536,-122.076747,CA,94041,"[-122.076747, 37.393536]","[-122.076747, 37.393536]"
131,385 County Line Road West,Suite 210,Westerville,USA,HQ,40.1368917,-82.9431104,OH,43082,"[-82.9431104, 40.1368917]","[-82.9431104, 40.1368917]"
132,301 Howard,3rd Floor,San Francisco,USA,,37.786906,-122.397672,CA,94105,"[-122.397672, 37.786906]","[-122.397672, 37.786906]"
133,1535 Mission St.,,San Francisco,USA,,37.771208,-122.418129,CA,94103,"[-122.418129, 37.771208]","[-122.418129, 37.771208]"
134,4100 E. Third Ave,Suite 104,Foster City,USA,HQ,37.571318,-122.267962,CA,94404,"[-122.267962, 37.571318]","[-122.267962, 37.571318]"
136,3675 S. Rainbow Blvd,Suite 107-361,Las Vegas,USA,Corporate Office,36.1211955,-115.2429972,NV,89103,"[-115.2429972, 36.1211955]","[-115.2429972, 36.1211955]"
141,5201 Great America Parkway - Suite 320,,Santa Clara,USA,"Zeus Technology, Inc",37.406217,-121.976473,CA,CA 95054,"[-121.976473, 37.406217]","[-121.976473, 37.406217]"
142,"Via Michele Lessona, 38",,00134 Roma,ITA,Zeus Technology,41.7914948,12.5335067,,,"[12.5335067, 41.7914948]","[12.5335067, 41.7914948]"
143,Mehringdamm 33,,Berlin,DEU,German Headquarters,52.4947266,13.398504,,10961,"[13.398504, 52.4947266]","[13.398504, 52.4947266]"
144,,,Los Angeles,USA,US Office,34.0522342,-118.2436849,CA,,"[-118.2436849, 34.0522342]","[-118.2436849, 34.0522342]"
146,,,London,GBR,,51.500152,-0.126236,,,"[-0.126236, 51.500152]","[-0.126236, 51.500152]"
147,11030 CirclePoint Road Suite 350,,Westminster,USA,,39.89674,-105.07359,CO,80020,"[-105.07359, 39.89674]","[-105.07359, 39.89674]"
149,3875 N. 44th St.,Suite 200,Phoenix,USA,Headquarters,33.492714,-111.98694,AZ,85018,"[-111.98694, 33.492714]","[-111.98694, 33.492714]"
150,820 16th Street,Suite 700,Denver,USA,"Double Encore, Inc",39.69263,-104.955012,CO,80202,"[-104.955012, 39.69263]","[-104.955012, 39.69263]"
151,1345 SW 42nd Street,,Topeka,USA,Headquarters,38.9933157,-95.6940151,KS,66609,"[-95.6940151, 38.9933157]","[-95.6940151, 38.9933157]"
152,40 Mall Rd.,,Burlington,USA,,42.487232,-71.204372,MA,01803,"[-71.204372, 42.487232]","[-71.204372, 42.487232]"
153,22 Cortlandt St Floor 18,,New York,USA,SpaBooker Head Office,40.738567,-73.987199,NY,10007,"[-73.987199, 40.738567]","[-73.987199, 40.738567]"
154,,,Irvine,USA,Headquarters,33.671428,-117.791423,CA,,"[-117.791423, 33.671428]","[-117.791423, 33.671428]"
162,3525 Eastham Dr.,,Culver City,USA,,34.017606,-118.487267,CA,90232,"[-118.487267, 34.017606]","[-118.487267, 34.017606]"
163,442 Post Street,10th Floor,San Francisco,USA,,37.788482,-122.409173,CA,94102,"[-122.409173, 37.788482]","[-122.409173, 37.788482]"
164,450 Sansome Street,12th Floor,San Francisco,USA,"GoingOn Networks, Inc.",37.782263,-122.392142,CA,94111,"[-122.392142, 37.782263]","[-122.392142, 37.782263]"
165,"295 Devonshire Street, 4th floor",,Boston,USA,Headquarters,42.340889,-71.051931,MA,02110,"[-71.051931, 42.340889]","[-71.051931, 42.340889]"
166,"450 Seventh Ave, Ste 209",,New York,USA,New York Office,40.739833,-73.993158,NY,10011,"[-73.993158, 40.739833]","[-73.993158, 40.739833]"
167,11601 Wilshire Blvd,,Los Angeles,USA,Los Angeles Office,34.050887,-118.459995,CA,90025,"[-118.459995, 34.050887]","[-118.459995, 34.050887]"
168,644 Menlo Ave.,Suite 203,Menlo Park,USA,,37.491356,-122.228843,CA,94025,"[-122.228843, 37.491356]","[-122.228843, 37.491356]"
169,409 S Santa Monica Blvd,Suite 2A,Santa Monica,USA,,34.018275,-118.495025,CA,90401,"[-118.495025, 34.018275]","[-118.495025, 34.018275]"
170,,,New York,USA,,40.757929,-73.985506,NY,,"[-73.985506, 40.757929]","[-73.985506, 40.757929]"
171,"1510 Fashion Island Blvd, Suite 240",,San Mateo,USA,,37.5583159,-122.2862187,CA,94404,"[-122.2862187, 37.5583159]","[-122.2862187, 37.5583159]"
172,16530 Ventura Blvd,Suite 502,Encino,USA,Corporate Office,34.09846,-118.332885,CA,91436,"[-118.332885, 34.09846]","[-118.332885, 34.09846]"
173,"601, First Floor, 12th Main, HAL 2nd Stage, Indiranagar, Bangalore",,Bangalore,IND,,12.933644,77.628576,,560008,"[77.628576, 12.933644]","[77.628576, 12.933644]"
176,1054 de Anza Blvd.,Suite 201,San Jose,USA,,37.308591,-122.031476,CA,95129,"[-122.031476, 37.308591]","[-122.031476, 37.308591]"
177,48 Boulevard des Batignolles,,Paris,FRA,,48.882647,2.322551,,75017,"[2.322551, 48.882647]","[2.322551, 48.882647]"
178,584 Broadway,Suite 1206,New York,USA,NY Office,40.722655,-73.99873,NY,10012,"[-73.99873, 40.722655]","[-73.99873, 40.722655]"
180,100 City Road,Transworld House,London,GBR,London,51.522727,-0.084462,,EC1Y2BP,"[-0.084462, 51.522727]","[-0.084462, 51.522727]"
182,450 National Avenue,,Mountain View,USA,,37.378884,-122.010692,CA,94043-2238,"[-122.010692, 37.378884]","[-122.010692, 37.378884]"
183,79 rue la Boétie,,Paris,FRA,HQ,48.856667,2.350987,,75008,"[2.350987, 48.856667]","[2.350987, 48.856667]"
187,7247 Lee Highway,,Falls Church,USA,,38.878596,-77.185057,VA,22042,"[-77.185057, 38.878596]","[-77.185057, 38.878596]"
188,55 Broadway,Floor 25,New York,USA,,40.706728,-74.012533,NY,10006,"[-74.012533, 40.706728]","[-74.012533, 40.706728]"
189,119 Spadina Ave.,Suite 502,Toronto,CAN,,43.646873,-79.395471,,,"[-79.395471, 43.646873]","[-79.395471, 43.646873]"
190,Level 4 & 5,97-99 Courtenay Place,Wellington,NZL,World Headquarters,50.3835264,-3.6027256,,6011,"[-3.6027256, 50.3835264]","[-3.6027256, 50.3835264]"
191,,,Berlin,DEU,,52.52348,13.411494,,,"[13.411494, 52.52348]","[13.411494, 52.52348]"
192,"Unit A, The Courtyard","Alban Park, Hatfield Rd",St Albans,GBR,,51.750141,-0.280535,,AL4 0LA,"[-0.280535, 51.750141]","[-0.280535, 51.750141]"
195,207 San Jacinto Blvd,,Austin,USA,,30.264254,-97.74129,TX,78701,"[-97.74129, 30.264254]","[-97.74129, 30.264254]"
196,"Via San Gaetano, 113",,Motebelluna,ITA,,45.564237,12.428383,,31044,"[12.428383, 45.564237]","[12.428383, 45.564237]"
198,215 First Street,,Cambridge,USA,,42.364367,-71.078978,MA,02142,"[-71.078978, 42.364367]","[-71.078978, 42.364367]"
199,6533 N. Galena Rd.,,Peoria,USA,"Firefly Energy, Inc.",40.76652,-89.571813,IL,61614,"[-89.571813, 40.76652]","[-89.571813, 40.76652]"
200,"275 West Street, Suite 204",,Annapolis,USA,World Headquarters,38.97639,-76.503171,MD,21401,"[-76.503171, 38.97639]","[-76.503171, 38.97639]"
201,4807 Spicewood Springs Rd,"Building 4, Suite 201",Austin,USA,Development & Marketing,30.379593,-97.765313,TX,78759,"[-97.765313, 30.379593]","[-97.765313, 30.379593]"
203,"3900 Freedom Circle,",Suite 201,Santa Clara,USA,World Headquarters,37.383368,-121.980186,CA,95054,"[-121.980186, 37.383368]","[-121.980186, 37.383368]"
204,1555 Adams,,Menlo Park,USA,HQ and R&D Center,37.478117,-122.14104,CA,94025,"[-122.14104, 37.478117]","[-122.14104, 37.478117]"
205,7801 Broadway Ste 205,,San Antonio,USA,San Antonio Office,29.743772,-98.692465,TX,78209,"[-98.692465, 29.743772]","[-98.692465, 29.743772]"
207,Ungererstrasse 40,,Munich,DEU,Corporate Headquarters,48.1654212,11.5893956,,80802,"[11.5893956, 48.1654212]","[11.5893956, 48.1654212]"
208,"28, Arul Colony, A.S.Rao Nagar,","ECIL Post, Hyderabad 500062",Hyderabad,IND,,22.5850296,88.4001282,,500062,"[88.4001282, 22.5850296]","[88.4001282, 22.5850296]"
209,,,Dallas,USA,,32.781078,-96.797111,TX,,"[-96.797111, 32.781078]","[-96.797111, 32.781078]"
211,1250 Connecticut Ave,Suite 420,Washington,USA,HQ,38.906867,-77.042322,DC,20036,"[-77.042322, 38.906867]","[-77.042322, 38.906867]"
212,6055 Lehman Drive,,Colorado Springs,USA,US HeadQuarters,38.919042,-104.789289,CO,80918,"[-104.789289, 38.919042]","[-104.789289, 38.919042]"
213,17 Holywell Hill,Suite 42,St. Albans Herts,GBR,UK Office,51.748219,-0.341379,,AL1 1DT,"[-0.341379, 51.748219]","[-0.341379, 51.748219]"
214,"6, Ravnishta str.",,Plovdiv,BGR,BG Office,42.133978,24.714267,,4001,"[24.714267, 42.133978]","[24.714267, 42.133978]"
215,14 Piedmont Center NE,Suite 850,Atlanta,USA,Corporate Headquarters,33.852384,-84.380568,GA,30305,"[-84.380568, 33.852384]","[-84.380568, 33.852384]"
218,"304, 5819 2 Street SW",,Calgary,CAN,,51.001833,-114.068589,,T2H0H3,"[-114.068589, 51.001833]","[-114.068589, 51.001833]"
219,"144, 2nd Main,",Kasturinagar,Bangalore,IND,AMT Bangalore,12.968308,77.52114,,560043,"[77.52114, 12.968308]","[77.52114, 12.968308]"
222,14 Piedmont Center NE,Suite 850,Atlanta,USA,Corporate Headquarters,33.852384,-84.380568,GA,30305,"[-84.380568, 33.852384]","[-84.380568, 33.852384]"
225,"304, 5819 2 Street SW",,Calgary,CAN,,51.001833,-114.068589,,T2H0H3,"[-114.068589, 51.001833]","[-114.068589, 51.001833]"
226,"144, 2nd Main,",Kasturinagar,Bangalore,IND,AMT Bangalore,12.968308,77.52114,,560043,"[77.52114, 12.968308]","[77.52114, 12.968308]"
229,"L13, 2 Elizabeth St",,Melbourne,AUS,Head Office,-37.812332,144.968956,,VIC 3000,"[144.968956, -37.812332]","[144.968956, -37.812332]"
230,Antwerpsesteenweg 377,,GENT,BEL,,51.065887,3.753575,,9040,"[3.753575, 51.065887]","[3.753575, 51.065887]"
231,"3-248, Plot No 38","Venkatraonagar, KKP",Hyderabad,IND,Core Software,17.433175,78.313807,,500072,"[78.313807, 17.433175]","[78.313807, 17.433175]"
232,429 Fourth Avenue,Suite 200,Pittsburgh,USA,Pittsburgh,40.438443,-79.998427,PA,15219,"[-79.998427, 40.438443]","[-79.998427, 40.438443]"
233,600 N. Jackson Street,Suite 303,Media,USA,Philadelphia,39.924056,-75.387947,PA,19603,"[-75.387947, 39.924056]","[-75.387947, 39.924056]"
234,"Hovedgaden 6, DK-2970",,Hoersholm,DNK,Denamrk Headquarters,55.878981,12.498551,,,"[12.498551, 55.878981]","[12.498551, 55.878981]"
236,2620 Augustine Dr,Suite 145,Santa Clara,USA,HQ,37.55911,-122.303493,CA,95054,"[-122.303493, 37.55911]","[-122.303493, 37.55911]"
237,155M New Boston St.,Suite 130,Woburn,USA,North American Sales,42.508719,-71.144313,MA,01801,"[-71.144313, 42.508719]","[-71.144313, 42.508719]"
240,15395 SE 30th Pl,,Bellevue,USA,US HQ,47.582658,-122.135282,WA,98007,"[-122.135282, 47.582658]","[-122.135282, 47.582658]"
241,,,Pune,IND,India Office,18.520469,73.856621,,,"[73.856621, 18.520469]","[73.856621, 18.520469]"
243,"2010 Corporate Ridge, Suite 700",,McLean,USA,HQ,38.911907,-77.215776,VA,22102,"[-77.215776, 38.911907]","[-77.215776, 38.911907]"
244,160 East Via Verde Ave.,,San Dimas,USA,Corporate Headquarters,34.069903,-117.848089,CA,91773,"[-117.848089, 34.069903]","[-117.848089, 34.069903]"
247,15375 SE 30th Place,Suite 290,Bellevue,USA,Headquarters,47.5827406,-122.1353561,WA,98007,"[-122.1353561, 47.5827406]","[-122.1353561, 47.5827406]"
248,Elektroniikkatie 3,,Oulu,FIN,Headquarters,65.0566012,25.4421286,,FI90570,"[25.4421286, 65.0566012]","[25.4421286, 65.0566012]"
249,12 Murphy Dr.,,Nashua,USA,HQ,42.7370219,-71.4872976,NH,03062,"[-71.4872976, 42.7370219]","[-71.4872976, 42.7370219]"
250,1971 Landings Dr.,,Mountain View,USA,,37.4187022,-122.0874129,CA,94043,"[-122.0874129, 37.4187022]","[-122.0874129, 37.4187022]"
253,9020-I Capital of TX Hwy N,Suite 270,Austin,USA,ReachForce HQ,30.389042,-97.756264,TX,78759,"[-97.756264, 30.389042]","[-97.756264, 30.389042]"
254,Å vitrigailos g. 11H,,Vilnius,LTU,Headquarters,54.6756751,25.2681237,,LT-03228,"[25.2681237, 54.6756751]","[25.2681237, 54.6756751]"
255,1720 Peachtree Street NW,Suite 405,Atlanta,USA,Hannon Hill Headquarters,33.84662,-84.3565171,GA,30309,"[-84.3565171, 33.84662]","[-84.3565171, 33.84662]"
256,6325 Morenci Trail,,Indianapolis,USA,Morenci Office,39.8705647,-86.2374314,IN,46268,"[-86.2374314, 39.8705647]","[-86.2374314, 39.8705647]"
258,,,Northport,USA,North Amer. Headquaters,40.89972,-73.351228,NY,11768,"[-73.351228, 40.89972]","[-73.351228, 40.89972]"
259,,,Sao Jose dos Campos,BRA,South Amer. Headquarters,-23.1790801,-45.8872476,,,"[-45.8872476, -23.1790801]","[-45.8872476, -23.1790801]"
261,8 Prince Georges Park,Extension Block,Singapore,SGP,,1.290801,103.7807403,,118407,"[103.7807403, 1.290801]","[103.7807403, 1.290801]"
264,P.O. Box No:16489,Mahim,Mumbai,IND,Headquarters,19.017656,72.856178,,400016,"[72.856178, 19.017656]","[72.856178, 19.017656]"
265,1080 Belle Avenue,,Winter Springs,USA,Showroom / Museum / Store,28.6911811,-81.3145175,FL,32708,"[-81.3145175, 28.6911811]","[-81.3145175, 28.6911811]"
267,1691 Michigan Ave.,,Miami Beach,USA,Head Office,25.7917108,-80.1388287,FL,33139,"[-80.1388287, 25.7917108]","[-80.1388287, 25.7917108]"
268,4 place du Bourg-De-Four,,Geneva,CHE,Geneva Office,46.1986292,6.1382324,,CH-1204,"[6.1382324, 46.1986292]","[6.1382324, 46.1986292]"
269,33/14 Great Saint Thomas Apostle,,London,GBR,London,51.5119418,-0.0936688,,EC4V 2BB,"[-0.0936688, 51.5119418]","[-0.0936688, 51.5119418]"
